,Unnamed: 0,URL,Price,Dimensions,Disposition,Location,City,Street
58,62,https://www.sreality.cz//detail/pronajem/byt/3+kk/zlin-zlin-trida-tomase-bati/1701323340,29000,95,3+kk,"třída Tomáše Bati, Zlín",Zlín,třída Tomáše Bati
59,63,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-sadova/670573132,13500,40,1+kk,"Sadová, Zlín",Zlín,Sadová
60,64,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-slunecna/3220775500,12500,62,2+1,"Slunečná, Zlín",Zlín,Slunečná
61,65,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-vetrna/2908299852,13500,35,1+1,"Větrná, Zlín",Zlín,Větrná
62,66,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-malenovice-chelcickeho/3883475532,19000,66,3+1,"Chelčického, Zlín - Malenovice",Zlín - Malenovice,Chelčického
63,67,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-malenovice-zabrani/2390807116,20000,50,2+kk,"Zabrání, Zlín - Malenovice",Zlín - Malenovice,Zabrání
64,68,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-zalesna-ii/1758077516,16000,56,2+kk,"Zálešná II, Zlín",Zlín,Zálešná II
65,69,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-lesetin-i/2294948428,16000,58,2+kk,"Lešetín I, Zlín",Zlín,Lešetín I
66,70,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-budovatelska/2822382156,15500,45,2+1,"Budovatelská, Zlín",Zlín,Budovatelská
67,71,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-havlickovo-nabrezi/2673484364,13500,58,2+kk,"Havlíčkovo nábřeží, Zlín",Zlín,Havlíčkovo nábřeží
68,72,https://www.sreality.cz//detail/pronajem/byt/4+1/zlin-zlin-slunecna/3986367052,21000,83,4+1,"Slunečná, Zlín",Zlín,Slunečná
69,73,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-javorova/666317388,11700,28,1+kk,"Javorová, Zlín",Zlín,Javorová
70,74,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlutava-zlutava-/564843084,6500,26,1+kk,Žlutava,,Žlutava
71,75,https://www.sreality.cz//detail/pronajem/byt/3+kk/luhacovice-luhacovice-/1327178316,15000,62,3+kk,Luhačovice,,Luhačovice
72,76,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-jilova/864301644,14650,76,3+1,"Jílová, Zlín",Zlín,Jílová
73,77,https://www.sreality.cz//detail/pronajem/byt/3+kk/zlin-zlin-podlesi-i/3770954316,18000,68,3+kk,"Podlesí I, Zlín",Zlín,Podlesí I
74,78,https://www.sreality.cz//detail/pronajem/byt/3+kk/zlin-priluky-pristav/926990924,20000,110,3+kk,"Přístav, Zlín - Příluky",Zlín - Příluky,Přístav
75,79,https://www.sreality.cz//detail/pronajem/byt/3+kk/zlin-zlin-sokolska/3267805772,14000,77,3+kk,"Sokolská, Zlín",Zlín,Sokolská
76,80,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-stefanikova/1819554380,11900,30,1+kk,"Štefánikova, Zlín",Zlín,Štefánikova
77,81,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-zelinova/3870634572,14900,49,2+kk,"Zelinova, Zlín",Zlín,Zelinova
78,82,https://www.sreality.cz//detail/pronajem/byt/pokoj/zlin-prstne-/3370463820,6500,22,pokoje,Zlín - Prštné,,Zlín - Prštné
79,83,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-malenovice-bezrucova/1675965004,12000,35,1+kk,"Bezručova, Zlín - Malenovice",Zlín - Malenovice,Bezručova
80,84,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-slezska/2275865164,19000,73,3+1,"Slezská, Zlín",Zlín,Slezská
81,85,https://www.sreality.cz//detail/pronajem/byt/pokoj/zlin-zlin-/3041210956,8000,17,pokoje,Zlín,,Zlín
82,86,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-podlesi-iii/1119236684,10600,45,2+1,"Podlesí III, Zlín",Zlín,Podlesí III
83,87,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-zelinova/1351365196,17900,48,2+kk,"Zelinova, Zlín",Zlín,Zelinova
84,88,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-podlesi-iii/2115682892,14000,70,3+1,"Podlesí III, Zlín",Zlín,Podlesí III
85,89,https://www.sreality.cz//detail/pronajem/byt/2+1/otrokovice-otrokovice-hlavni/3354866252,13900,56,2+1,"Hlavní, Otrokovice",Otrokovice,Hlavní
86,90,https://www.sreality.cz//detail/pronajem/byt/2+1/otrokovice-otrokovice-havlickova/2230792780,13000,59,2+1,"Havlíčkova, Otrokovice",Otrokovice,Havlíčkova
87,91,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-nabrezi/1293365836,12150,60,2+1,"Nábřeží, Zlín",Zlín,Nábřeží
88,92,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-hrncirska/123155020,17000,85,3+1,"Hrnčířská, Zlín",Zlín,Hrnčířská
89,93,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-okruzni/2725720652,17000,67,3+1,"Okružní, Zlín",Zlín,Okružní
90,94,https://www.sreality.cz//detail/pronajem/byt/3+1/otrokovice-otrokovice-smetanova/2759275084,18700,77,3+1,"Smetanova, Otrokovice",Otrokovice,Smetanova
91,95,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-na-honech-ii/3782468172,13500,45,2+1,"Na Honech II, Zlín",Zlín,Na Honech II
92,96,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-priluky-pancava/1213215308,16000,56,2+kk,"Pančava, Zlín - Příluky",Zlín - Příluky,Pančava
93,97,https://www.sreality.cz//detail/pronajem/byt/2+1/napajedla-napajedla-/1949446732,14000,45,2+1,Napajedla,,Napajedla
94,98,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-vejvanovska/2317496908,11500,28,1+kk,"Vejvanovská, Zlín",Zlín,Vejvanovská
95,99,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-vetrna/1763848780,8500,27,1+kk,"Větrná, Zlín",Zlín,Větrná
96,100,https://www.sreality.cz//detail/pronajem/byt/2+1/otrokovice-kvitkovice-lidicka/3337826892,12000,56,2+1,"Lidická, Otrokovice - Kvítkovice",Otrokovice - Kvítkovice,Lidická
97,101,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-louky-zabranci-i/2441949772,12600,45,2+kk,"Zábrančí I, Zlín - Louky",Zlín - Louky,Zábrančí I
98,102,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-dily-ii/65876556,11900,60,3+1,"Díly II, Zlín",Zlín,Díly II
99,103,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-nivy-ii/205337164,16500,100,3+1,"Nivy II, Zlín",Zlín,Nivy II
100,104,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-nivy-ii/490549836,16000,120,2+1,"Nivy II, Zlín",Zlín,Nivy II
101,105,https://www.sreality.cz//detail/pronajem/byt/3+1/zlin-zlin-slezska/2275865164,19000,73,3+1,"Slezská, Zlín",Zlín,Slezská
102,106,https://www.sreality.cz//detail/pronajem/byt/1+kk/luhacovice-luhacovice-leose-janacka/3640889932,12000,30,1+kk,"Leoše Janáčka, Luhačovice",Luhačovice,Leoše Janáčka
103,107,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-trida-tomase-bati/3562877516,13800,60,2+kk,"třída Tomáše Bati, Zlín",Zlín,třída Tomáše Bati
104,108,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-kostelec-lesenska/2560504396,16000,75,2+1,"Lešenská, Zlín - Kostelec",Zlín - Kostelec,Lešenská
105,109,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-smetanova/3062772300,20000,66,2+kk,"Smetanova, Zlín",Zlín,Smetanova
106,110,https://www.sreality.cz//detail/pronajem/byt/2+1/otrokovice-otrokovice-nam-3-kvetna/697270860,13700,60,2+1,"nám. 3. května, Otrokovice",Otrokovice,nám. 3. května
107,111,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-sevcovska/3316527692,11500,37,1+1,"Ševcovská, Zlín",Zlín,Ševcovská
108,112,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-jaroslavice-v-doline/889139788,7000,25,1+kk,"V Dolině, Zlín - Jaroslavice",Zlín - Jaroslavice,V Dolině
109,113,https://www.sreality.cz//detail/pronajem/byt/atypicky/luhacovice-luhacovice-/1292841548,12000,35,atypický,Luhačovice,,Luhačovice
110,114,https://www.sreality.cz//detail/pronajem/byt/pokoj/zlin-zlin-trida-tomase-bati/586756684,3708,114,pokoje,"třída Tomáše Bati, Zlín",Zlín,třída Tomáše Bati
111,115,https://www.sreality.cz//detail/pronajem/byt/1+kk/napajedla-napajedla-masarykovo-namesti/24588876,8000,34,1+kk,"Masarykovo náměstí, Napajedla",Napajedla,Masarykovo náměstí
112,116,https://www.sreality.cz//detail/pronajem/byt/2+1/zlin-zlin-lucni/424227404,11500,56,2+1,"Luční, Zlín",Zlín,Luční
113,117,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-lazy-iii/3314860620,8000,35,1+1,"Lazy III, Zlín",Zlín,Lazy III
114,118,https://www.sreality.cz//detail/pronajem/byt/3+kk/zlin-zlin-na-honech-i/2939470412,25000,75,3+kk,"Na Honech I, Zlín",Zlín,Na Honech I
115,119,https://www.sreality.cz//detail/pronajem/byt/2+kk/zlin-zlin-smetanova/1229308492,25000,111,2+kk,"Smetanova, Zlín",Zlín,Smetanova
116,120,https://www.sreality.cz//detail/pronajem/byt/1+kk/zlin-zlin-vodni/3263677004,12000,27,1+kk,"Vodní, Zlín",Zlín,Vodní
117,121,https://www.sreality.cz//detail/pronajem/byt/1+1/zlin-zlin-stefanikova/3400778316,4200,16,1+1,"Štefánikova, Zlín",Zlín,Štefánikova
118,122,https://www.sreality.cz//detail/pronajem/byt/2+kk/valasske-klobouky-valasske-klobouky-masarykovo-namesti/807256652,14690,52,2+kk,"Masarykovo náměstí, Valašské Klobouky",Valašské Klobouky,Masarykovo náměstí
